name,xcord,modifiedxcord,ycord,modifiedycord
E001,448,99,109,-142
E002,420,71,109,-142
E003,392,43,112,-139
E004,371,22,124,-127
E005,352,3,137,-114
E006,340,-9,155,-96
E007,327,-22,171,-80
E008,314,-35,191,-60
E009,303,-46,213,-38
E010,413,64,79,-172
E011,386,37,87,-164
E012,363,14,98,-153
E013,344,-5,114,-137
E014,327,-22,131,-120
E015,314,-35,151,-100
E016,302,-47,172,-79
E017,292,-57,197,-54
E018,376,27,60,-191
E019,353,4,74,-177
E020,332,-17,90,-161
E021,314,-35,109,-142
E022,302,-47,131,-120
E023,288,-61,155,-96
E024,280,-69,182,-69
E025,337,-12,51,-200
E026,314,-35,69,-182
E027,297,-52,90,-161
E028,284,-65,113,-138
E029,276,-73,137,-114
E030,268,-81,165,-86
E031,314,-35,29,-222
E032,291,-58,51,-200
E033,276,-73,74,-177
E034,265,-84,98,-153
E035,257,-92,124,-127
E036,257,-92,149,-102
E037,252,-97,60,-191
E038,242,-107,86,-165
E039,236,-113,112,-139
E040,232,-117,142,-109
E041,237,-112,166,-85
E042,251,-98,182,-69
E043,264,-85,198,-53
E044,278,-71,216,-35
E045,296,-53,235,-16
E046,215,-134,80,-171
E047,208,-141,109,-142
E048,207,-142,137,-114
E049,212,-137,166,-85
E050,223,-126,188,-63
E051,238,-111,206,-45
E052,255,-94,223,-28
E053,277,-72,242,-9
E054,180,-169,109,-142
E055,180,-169,142,-109
E056,186,-163,171,-80
E057,199,-150,196,-55
E058,216,-133,212,-39
E059,235,-114,230,-21
E060,258,-91,248,-3
E061,151,-198,151,-100
E062,161,-188,183,-68
E063,177,-172,207,-44
E064,194,-155,225,-26
E065,214,-135,238,-13
E066,239,-110,255,4
E067,121,-228,167,-84
E068,137,-212,198,-53
E069,154,-195,227,-24
E070,174,-175,243,-8
E071,197,-152,256,5
E072,219,-130,262,11
E073,97,-252,188,-63
E074,158,-191,265,14
E075,181,-168,278,27
E076,207,-142,284,33
E077,230,-119,284,33
E078,249,-100,277,26
E079,269,-80,267,16
E080,290,-59,260,9
E081,314,-35,250,-1
E082,75,-274,226,-25
E083,144,-205,290,39
E084,171,-178,301,50
E085,197,-152,307,56
E086,220,-129,305,54
E087,245,-104,301,50
E088,268,-81,294,43
E089,289,-60,284,33
E090,314,-35,269,18
E091,55,-294,258,7
E092,80,-269,283,32
E093,107,-242,305,54
E094,132,-217,314,63
E095,163,-186,328,77
E096,192,-157,333,82
E097,217,-132,331,80
E098,242,-107,326,75
E099,264,-85,317,66
E100,290,-59,305,54
E101,313,-36,309,58
E102,70,-279,321,70
E103,101,-248,338,87
E104,130,-219,350,99
E105,161,-188,359,108
E106,192,-157,362,111
E107,221,-128,360,109
E108,246,-103,353,102
E109,270,-79,341,90
E110,289,-60,327,76
E111,96,-253,373,122
E112,130,-219,384,133
E113,164,-185,391,140
E114,196,-153,391,140
E115,227,-122,387,136
E116,254,-95,378,127
E117,278,-71,365,114
E118,299,-50,348,97
E119,314,-35,329,78
E120,136,-213,420,169
E121,172,-177,423,172
E122,205,-144,420,169
E123,239,-110,415,164
E124,267,-82,404,153
E125,294,-55,388,137
E126,315,-34,370,119
E127,329,-20,349,98
E128,340,-9,326,75
E129,339,-10,305,54
E130,339,-10,284,33
E131,338,-11,260,9
E132,333,-16,235,-16
E133,186,-163,456,205
E134,224,-125,451,200
E135,257,-92,444,193
E136,287,-62,428,177
E137,314,-35,411,160
E138,333,-16,388,137
E139,350,1,365,114
E140,358,9,340,89
E141,364,15,316,65
E142,360,11,294,43
E143,360,11,268,17
E144,351,2,241,-10
E145,249,-100,482,231
E146,281,-68,466,215
E147,314,-35,451,200
E148,342,-7,428,177
E149,361,12,404,153
E150,374,25,378,127
E151,382,33,353,102
E152,386,37,326,75
E153,384,35,301,50
E154,378,29,276,25
E155,370,21,248,-3
E156,348,-1,467,216
E157,371,22,443,192
E158,390,41,416,165
E159,401,52,388,137
E160,407,58,360,109
E161,411,62,332,81
E162,408,59,304,53
E163,398,49,284,33
E164,389,40,254,3
E165,380,31,482,231
E166,405,56,451,200
E167,423,74,421,170
E168,432,83,391,140
E169,436,87,362,111
E170,437,88,334,83
E171,431,82,308,57
E172,421,72,283,32
E173,409,60,262,11
E174,443,94,457,206
E175,457,108,423,172
E176,465,116,392,141
E177,468,119,359,108
E178,465,116,328,77
E179,458,109,301,50
E180,447,98,278,27
E181,432,83,256,5
E182,414,65,238,-13
E183,393,44,229,-22
E184,373,24,223,-28
E185,350,1,216,-35
E186,325,-24,212,-39
E187,492,143,420,169
E188,498,149,384,133
E189,499,150,350,99
E190,496,147,314,63
E191,484,135,291,40
E192,470,121,265,14
E193,454,105,242,-9
E194,434,85,225,-26
E195,413,64,214,-37
E196,390,41,206,-45
E197,364,15,199,-52
E198,336,-13,197,-54
E199,532,183,373,122
E200,528,179,338,87
E201,522,173,306,55
E202,475,126,226,-25
E203,451,102,207,-44
E204,430,81,196,-55
E205,406,57,188,-63
E206,377,28,180,-71
E207,348,-1,182,-69
E208,558,209,322,71
E209,547,198,283,32
E210,492,143,197,-54
E211,467,118,183,-68
E212,442,93,170,-81
E213,416,67,166,-85
E214,391,42,166,-85
E215,360,11,166,-85
E216,574,225,257,6
E217,554,205,227,-24
E218,531,182,187,-64
E219,507,158,167,-84
E220,477,128,152,-99
E221,448,99,142,-109
E222,421,72,138,-113
E223,396,47,142,-109
E224,372,23,149,-102
E225,501,152,142,-109
E226,492,143,115,-136
E227,528,179,149,-102
E228,558,209,173,-78
E229,583,234,198,-53
E230,476,127,83,-168
E231,519,170,106,-145
E232,553,204,125,-126
E233,582,233,150,-101
E234,453,104,49,-202
E235,496,147,57,-194
E236,535,186,74,-177
E237,569,220,97,-154
E238,430,81,23,-228
E239,473,124,23,-228
E240,510,161,31,-220
E241,198,-151,23,-228
E242,155,-194,23,-228
E243,118,-231,31,-220
E244,176,-173,50,-201
E245,133,-216,56,-195
E246,94,-255,73,-178
E247,59,-290,97,-154
E248,153,-196,84,-167
E249,109,-240,106,-145
E250,75,-274,126,-125
E251,47,-302,151,-100
E252,137,-212,115,-136
E253,127,-222,142,-109
E254,101,-248,149,-102
E255,71,-278,174,-77
E256,45,-304,199,-52
