electrode_name,x,y
E001,1305,367
E002,1223,363
E003,1146,372
E004,1086,406
E005,1031,444
E006,998,495
E007,963,541
E008,925,595
E009,898,657
E010,1203,281
E011,1130,300
E012,1062,336
E013,1012,378
E014,963,421
E015,926,479
E016,891,542
E017,865,612
E018,1102,228
E019,1036,266
E020,974,309
E021,928,365
E022,889,425
E023,850,492
E024,829,568
E025,993,200
E026,928,253
E027,877,310
E028,843,377
E029,822,448
E030,796,527
E031,926,143
E032,863,200
E033,818,267
E034,792,336
E035,768,410
E036,766,477
E037,751,226
E038,725,304
E039,706,375
E040,696,462
E041,710,527
E042,751,572
E043,784,615
E044,824,666
E045,876,721
E046,646,279
E047,628,367
E048,624,445
E049,637,525
E050,671,589
E051,713,637
E052,760,686
E053,822,741
E054,547,365
E055,549,459
E056,566,538
E057,603,607
E058,648,657
E059,702,702
E060,768,754
E061,467,483
E062,493,572
E063,540,638
E064,586,693
E065,646,729
E066,717,776
E067,382,528
E068,426,613
E069,475,694
E070,530,741
E071,593,776
E072,659,793
E073,316,588
E074,487,803
E075,551,838
E076,621,859
E077,689,857
E078,746,835
E079,797,809
E080,863,786
E081,928,761
E082,253,696
E083,448,877
E084,525,906
E085,595,924
E086,664,916
E087,733,906
E088,796,882
E089,857,855
E090,929,817
E091,195,779
E092,269,855
E093,339,917
E094,412,939
E095,500,980
E096,582,994
E097,651,990
E098,722,976
E099,786,948
E100,858,915
E101,928,927
E102,237,965
E103,323,1011
E104,405,1042
E105,492,1065
E106,579,1080
E107,664,1069
E108,735,1051
E109,802,1019
E110,856,973
E111,313,1109
E112,412,1135
E113,502,1160
E114,595,1158
E115,682,1149
E116,756,1121
E117,826,1088
E118,885,1037
E119,928,981
E120,428,1239
E121,525,1244
E122,623,1241
E123,713,1227
E124,794,1194
E125,868,1151
E126,925,1098
E127,968,1039
E128,999,975
E129,995,917
E130,997,853
E131,993,790
E132,978,720
E133,561,1343
E134,669,1328
E135,766,1307
E136,851,1263
E137,925,1213
E138,982,1151
E139,1026,1087
E140,1047,1019
E141,1066,947
E142,1057,888
E143,1057,812
E144,1031,737
E145,740,1415
E146,832,1370
E147,928,1326
E148,1005,1264
E149,1058,1194
E150,1093,1119
E151,1117,1051
E152,1131,976
E153,1121,908
E154,1109,834
E155,1085,759
E156,1020,1372
E157,1088,1306
E158,1139,1230
E159,1172,1150
E160,1186,1071
E161,1197,991
E162,1191,915
E163,1163,855
E164,1136,773
E165,1111,1414
E166,1184,1327
E167,1233,1244
E168,1257,1157
E169,1272,1076
E170,1272,994
E171,1257,922
E172,1229,860
E173,1195,793
E174,1287,1339
E175,1327,1246
E176,1350,1158
E177,1360,1066
E178,1350,981
E179,1329,904
E180,1299,839
E181,1255,778
E182,1207,729
E183,1147,705
E184,1095,689
E185,1029,663
E186,956,655
E187,1427,1240
E188,1443,1141
E189,1446,1044
E190,1439,940
E191,1405,878
E192,1364,806
E193,1322,737
E194,1264,689
E195,1205,659
E196,1138,636
E197,1067,619
E198,988,615
E199,1541,1109
E200,1527,1011
E201,1511,920
E202,1376,693
E203,1313,639
E204,1252,613
E205,1184,587
E206,1102,565
E207,1020,567
E208,1615,961
E209,1583,854
E210,1425,613
E211,1357,569
E212,1288,538
E213,1214,526
E214,1145,526
E215,1056,525
E216,1660,783
E217,1602,697
E218,1539,584
E219,1467,528
E220,1382,484
E221,1305,458
E222,1228,446
E223,1159,457
E224,1089,476
E225,1455,456
E226,1429,381
E227,1528,477
E228,1614,546
E229,1683,614
E230,1380,295
E231,1503,357
E232,1602,414
E233,1679,481
E234,1316,197
E235,1435,217
E236,1544,265
E237,1646,328
E238,1251,121
E239,1373,123
E240,1479,143
E241,601,122
E242,478,126
E243,373,145
E244,538,196
E245,418,217
E246,307,265
E247,211,333
E248,472,293
E249,351,358
E250,250,412
E251,174,482
E252,428,383
E253,398,458
E254,325,480
E255,241,546
